date;open;max;min;close
03.09.2018;107900;108060;107900;108030
03.09.2018;107960;107960;107960;107960
03.09.2018;108000;108000;108000;108000
03.09.2018;108000;108000;108000;108000
03.09.2018;108080;108080;108080;108080
03.09.2018;108200;108250;108200;108250
03.09.2018;108250;108250;108250;108250
03.09.2018;108250;108250;108250;108250
03.09.2018;108200;108200;108200;108200
03.09.2018;108290;108290;108290;108290
03.09.2018;108050;108050;108030;108030
03.09.2018;108000;108000;107980;107980
03.09.2018;107980;107980;107980;107980
03.09.2018;108000;108000;107900;107900
03.09.2018;107800;107800;107720;107720
03.09.2018;107750;107820;107720;107820
03.09.2018;107910;107910;107910;107910
03.09.2018;108010;108010;108010;108010
03.09.2018;108010;108010;107950;107950
03.09.2018;108000;108000;108000;108000
03.09.2018;108050;108050;108050;108050
03.09.2018;108030;108030;108030;108030
03.09.2018;108030;108050;108030;108050
03.09.2018;108030;108030;108030;108030
03.09.2018;108030;108030;108030;108030
03.09.2018;108220;108220;108220;108220
03.09.2018;108140;108140;108140;108140
03.09.2018;108110;108210;108110;108210
03.09.2018;108220;108250;108220;108250
03.09.2018;107950;108030;107950;108030
03.09.2018;107910;107910;107910;107910
03.09.2018;107780;107810;107780;107810
03.09.2018;107840;107880;107840;107880
03.09.2018;107740;107740;107660;107660
03.09.2018;107650;107650;107650;107650
03.09.2018;107680;107680;107680;107680
03.09.2018;107710;107710;107710;107710
03.09.2018;107630;107640;107530;107530
03.09.2018;107500;107500;107450;107450
03.09.2018;107680;107680;107680;107680
03.09.2018;107770;107770;107770;107770
03.09.2018;107700;107700;107680;107680
03.09.2018;107680;107680;107680;107680
03.09.2018;107680;107680;107680;107680
03.09.2018;107650;107650;107650;107650
03.09.2018;107530;107530;107500;107500
03.09.2018;107500;107500;107500;107500
03.09.2018;107530;107540;107530;107540
03.09.2018;107520;107520;107520;107520
03.09.2018;107470;107470;107450;107450
03.09.2018;107510;107510;107510;107510
03.09.2018;107510;107510;107510;107510
03.09.2018;107500;107500;107500;107500
03.09.2018;107500;107500;107500;107500
03.09.2018;107400;107400;107380;107380
03.09.2018;107370;107370;107370;107370
03.09.2018;107530;107530;107530;107530
03.09.2018;107610;107610;107610;107610
03.09.2018;107580;107580;107580;107580
03.09.2018;107580;107610;107580;107610
03.09.2018;107430;107430;107430;107430
03.09.2018;107470;107470;107470;107470
03.09.2018;107470;107470;107470;107470
03.09.2018;107640;107640;107640;107640
03.09.2018;107640;107640;107640;107640
03.09.2018;107640;107640;107590;107590
03.09.2018;107770;107770;107770;107770
03.09.2018;107660;107660;107650;107650
03.09.2018;107660;107660;107660;107660
03.09.2018;107590;107590;107590;107590
03.09.2018;107640;107650;107640;107650
03.09.2018;107590;107590;107590;107590
03.09.2018;107540;107540;107540;107540
03.09.2018;107640;107650;107640;107650
03.09.2018;107640;107640;107640;107640
03.09.2018;107550;107550;107550;107550
03.09.2018;107600;107670;107600;107670
03.09.2018;107570;107570;107570;107570
03.09.2018;107570;107570;107570;107570
03.09.2018;107550;107550;107550;107550
03.09.2018;107650;107650;107650;107650
03.09.2018;107500;107500;107500;107500
03.09.2018;107480;107480;107480;107480
03.09.2018;107680;107680;107680;107680
03.09.2018;107530;107530;107530;107530
03.09.2018;107530;107530;107530;107530
03.09.2018;107630;107640;107630;107640
03.09.2018;107620;107620;107620;107620
03.09.2018;107650;107650;107650;107650
03.09.2018;107630;107630;107630;107630
03.09.2018;107720;107720;107720;107720
03.09.2018;107700;107700;107700;107700
03.09.2018;107630;107630;107630;107630
03.09.2018;107650;107650;107650;107650
03.09.2018;107660;107660;107660;107660
03.09.2018;107790;107790;107790;107790
03.09.2018;107750;107750;107750;107750
03.09.2018;107750;107750;107750;107750
03.09.2018;107710;107710;107710;107710
03.09.2018;107720;107720;107720;107720
03.09.2018;107660;107660;107600;107600
03.09.2018;107560;107560;107560;107560
03.09.2018;107500;107500;107500;107500
03.09.2018;107470;107470;107470;107470
03.09.2018;107580;107600;107580;107600
03.09.2018;107580;107580;107580;107580
03.09.2018;107450;107450;107380;107380
03.09.2018;107330;107390;107300;107300
03.09.2018;107340;107400;107320;107400
03.09.2018;107310;107310;107300;107300
03.09.2018;107360;107360;107200;107200
03.09.2018;107240;107240;107240;107240
03.09.2018;107350;107350;107350;107350
03.09.2018;107390;107390;107390;107390
03.09.2018;107430;107470;107430;107460
03.09.2018;107310;107310;107310;107310
03.09.2018;107260;107260;107260;107260
03.09.2018;107280;107280;107280;107280
03.09.2018;107430;107430;107430;107430
03.09.2018;107360;107360;107360;107360
03.09.2018;107310;107310;107260;107260
03.09.2018;107400;107400;107400;107400
03.09.2018;107320;107320;107320;107320
03.09.2018;107260;107280;107260;107280
03.09.2018;107300;107300;107300;107300
03.09.2018;107250;107250;107210;107210
03.09.2018;107260;107260;107250;107250
03.09.2018;107450;107530;107430;107530
03.09.2018;107480;107480;107480;107480
03.09.2018;107490;107490;107490;107490
03.09.2018;107530;107530;107530;107530
03.09.2018;107520;107550;107520;107550
03.09.2018;107550;107560;107550;107560
03.09.2018;107530;107530;107530;107530
03.09.2018;107540;107600;107510;107510
03.09.2018;107500;107500;107500;107500
03.09.2018;107460;107460;107410;107410
03.09.2018;107600;107600;107550;107550
03.09.2018;107550;107550;107550;107550
03.09.2018;107580;107580;107580;107580
03.09.2018;107600;107600;107600;107600
03.09.2018;107560;107570;107560;107570
03.09.2018;107680;107690;107680;107690
03.09.2018;107700;107790;107700;107770
03.09.2018;107620;107620;107620;107620
03.09.2018;107610;107610;107610;107610
03.09.2018;107600;107600;107600;107600
03.09.2018;107570;107570;107570;107570
03.09.2018;107560;107560;107560;107560
03.09.2018;107620;107620;107620;107620
03.09.2018;107620;107620;107620;107620
03.10.2018;117000;117640;117000;117500
03.10.2018;117500;117630;117430;117470
03.10.2018;117480;117610;117470;117580
03.10.2018;117580;117580;117420;117430
03.10.2018;117430;117570;117410;117560
03.10.2018;117560;117580;117380;117520
03.10.2018;117510;117520;117370;117420
03.10.2018;117430;117430;117310;117320
03.10.2018;117320;117390;117300;117350
03.10.2018;117340;117370;117310;117340
03.10.2018;117320;117380;117300;117350
03.10.2018;117350;117440;117340;117430
03.10.2018;117440;117560;117410;117520
03.10.2018;117510;117610;117460;117480
03.10.2018;117490;117570;117460;117490
03.10.2018;117490;117550;117480;117510
03.10.2018;117500;117610;117500;117600
03.10.2018;117590;117730;117540;117660
03.10.2018;117660;117760;117640;117670
03.10.2018;117670;117720;117660;117720
03.10.2018;117720;117780;117650;117680
03.10.2018;117690;117700;117640;117660
03.10.2018;117680;117710;117620;117630
03.10.2018;117640;117700;117600;117680
03.10.2018;117660;117710;117650;117690
03.10.2018;117690;117690;117570;117580
03.10.2018;117580;117590;117540;117550
03.10.2018;117550;117600;117540;117560
03.10.2018;117570;117680;117560;117680
03.10.2018;117680;117700;117580;117650
03.10.2018;117650;117690;117610;117640
03.10.2018;117640;117660;117600;117630
03.10.2018;117620;117620;117500;117520
03.10.2018;117530;117600;117530;117560
03.10.2018;117560;117580;117510;117540
03.10.2018;117530;117570;117500;117560
03.10.2018;117560;117600;117550;117560
03.10.2018;117560;117600;117550;117590
03.10.2018;117570;117620;117570;117580
03.10.2018;117590;117620;117530;117580
03.10.2018;117590;117620;117410;117450
03.10.2018;117470;117530;117460;117520
03.10.2018;117530;117550;117430;117480
03.10.2018;117480;117480;117410;117420
03.10.2018;117420;117480;117410;117480
03.10.2018;117470;117580;117460;117510
03.10.2018;117510;117530;117500;117500
03.10.2018;117500;117510;117450;117490
03.10.2018;117480;117550;117480;117540
03.10.2018;117550;117910;117540;117750
03.10.2018;117760;117900;117760;117810
03.10.2018;117810;117850;117760;117780
03.10.2018;117790;117820;117770;117770
03.10.2018;117770;117850;117770;117790
03.10.2018;117790;117800;117750;117780
03.10.2018;117770;117840;117770;117830
03.10.2018;117830;117910;117820;117870
03.10.2018;117870;117870;117710;117760
03.10.2018;117760;117830;117720;117820
03.10.2018;117800;117810;117760;117770
03.10.2018;117770;117870;117760;117800
03.10.2018;117790;117800;117740;117760
03.10.2018;117750;117790;117690;117710
03.10.2018;117710;117740;117650;117710
03.10.2018;117720;117740;117700;117740
03.10.2018;117750;117780;117700;117710
03.10.2018;117710;117750;117710;117750
03.10.2018;117740;117810;117740;117750
03.10.2018;117740;117900;117710;117850
03.10.2018;117850;117900;117810;117840
03.10.2018;117830;117860;117780;117830
03.10.2018;117840;117850;117790;117810
03.10.2018;117790;118060;117790;117990
03.10.2018;118000;118100;117980;117990
03.10.2018;117980;118170;117980;118130
03.10.2018;118120;118170;118100;118140
03.10.2018;118150;118380;118150;118350
03.10.2018;118350;118460;118350;118370
03.10.2018;118390;118400;118300;118330
03.10.2018;118340;118380;118320;118360
03.10.2018;118360;118380;118320;118330
03.10.2018;118330;118390;118290;118300
03.10.2018;118300;118330;118260;118270
03.10.2018;118260;118290;118240;118260
03.10.2018;118260;118300;118250;118260
03.10.2018;118260;118360;118260;118310
03.10.2018;118310;118310;118260;118270
03.10.2018;118290;118320;118220;118260
03.10.2018;118260;118310;118250;118310
03.10.2018;118300;118350;118300;118330
03.10.2018;118340;118390;118300;118360
03.10.2018;118380;118430;118320;118320
03.10.2018;118320;118360;118290;118320
03.10.2018;118310;118320;118280;118290
03.10.2018;118300;118330;118270;118300
03.10.2018;118290;118300;118240;118290
03.10.2018;118290;118310;118270;118290
03.10.2018;118300;118330;118260;118290
03.10.2018;118300;118320;118280;118310
03.10.2018;118310;118430;118300;118380
03.10.2018;118380;118410;118280;118310
03.10.2018;118300;118330;118250;118250
03.10.2018;118260;118280;118240;118280
03.10.2018;118270;118280;118240;118270
03.10.2018;118260;118290;118220;118250
03.10.2018;118240;118310;118240;118240
03.10.2018;118250;118270;118240;118240
03.10.2018;118250;118370;118230;118350
03.10.2018;118360;118390;118260;118300
03.10.2018;118310;118310;118230;118290
03.10.2018;118300;118310;118260;118270
03.10.2018;118280;118320;118270;118270
03.10.2018;118300;118300;118260;118290
03.10.2018;118280;118310;118270;118270
03.10.2018;118280;118300;118240;118280
03.10.2018;118280;118290;118150;118170
03.10.2018;118170;118230;118160;118170
03.10.2018;118170;118200;118130;118200
03.10.2018;118190;118200;118110;118130
03.10.2018;118140;118210;118140;118210
03.10.2018;118200;118220;118150;118150
03.10.2018;118160;118180;118130;118140
03.10.2018;118140;118180;118120;118140
03.10.2018;118150;118190;118140;118180
03.10.2018;118170;118170;118110;118120
03.10.2018;118120;118130;118040;118100
03.10.2018;118090;118090;118010;118020
03.10.2018;118030;118060;118000;118020
03.10.2018;118020;118030;117900;117920
03.10.2018;117920;117970;117890;117970
03.10.2018;117970;118040;117950;118030
03.10.2018;118030;118100;118030;118100
03.10.2018;118080;118190;118080;118180
03.10.2018;118180;118440;118170;118400
03.10.2018;118410;118590;118350;118550
03.10.2018;118560;118590;118420;118470
03.10.2018;118460;118530;118450;118480
03.10.2018;118490;118500;118450;118470
03.10.2018;118470;118500;118430;118440
03.10.2018;118430;118470;118380;118380
03.10.2018;118390;118450;118330;118440
03.10.2018;118450;118460;118400;118400
03.10.2018;118400;118470;118400;118430
03.10.2018;118420;118500;118420;118500
03.10.2018;118500;118560;118490;118500
03.10.2018;118510;118560;118510;118540
03.10.2018;118520;118710;118490;118650
03.10.2018;118650;118690;118570;118580
03.10.2018;118580;118620;118570;118620
03.10.2018;118610;118680;118590;118600
03.10.2018;118610;118650;118560;118560
03.10.2018;118560;118670;118530;118620
03.10.2018;118620;118640;118490;118530
03.10.2018;118530;118570;118490;118510
03.10.2018;118510;118540;118490;118490
03.10.2018;118490;118520;118400;118400
03.10.2018;118400;118440;118370;118410
03.10.2018;118410;118410;118210;118280
03.10.2018;118290;118350;118220;118270
03.10.2018;118280;118390;118250;118360
03.10.2018;118370;118510;118370;118450
03.10.2018;118450;118460;118370;118390
03.10.2018;118390;118400;118310;118370
03.10.2018;118380;118400;118360;118400
03.10.2018;118410;118430;118350;118400
03.10.2018;118400;118440;118390;118410
03.10.2018;118410;118410;118370;118370
03.10.2018;118370;118440;118370;118420
03.10.2018;118420;118420;118370;118410
03.10.2018;118390;118440;118370;118370
03.10.2018;118370;118460;118370;118440
03.10.2018;118450;118580;118440;118540
03.10.2018;118530;118680;118500;118660
03.10.2018;118670;118680;118590;118620
03.10.2018;118610;118650;118600;118620
03.10.2018;118630;118630;118580;118620
03.10.2018;118610;118700;118610;118660
03.10.2018;118660;118660;118620;118620
03.10.2018;118620;118630;118600;118600
03.10.2018;118600;118800;118600;118710
03.10.2018;118700;118760;118650;118680
03.10.2018;118670;118710;118640;118650
03.10.2018;118640;118660;118500;118570
03.10.2018;118570;118600;118540;118560
03.10.2018;118570;118670;118570;118650
03.10.2018;118660;118680;118610;118670
03.10.2018;118680;118720;118600;118630
03.10.2018;118610;118640;118550;118570
03.10.2018;118570;118610;118560;118570
03.10.2018;118570;118630;118570;118610
03.10.2018;118620;118660;118570;118570
03.10.2018;118560;118620;118550;118600
03.10.2018;118610;118640;118590;118590
03.10.2018;118600;118640;118600;118600
03.10.2018;118600;118650;118590;118630
03.10.2018;118640;118650;118600;118600
03.10.2018;118590;118600;118460;118470
03.10.2018;118490;118540;118490;118540
03.10.2018;118530;118560;118430;118480
03.10.2018;118460;118510;118450;118490
03.10.2018;118460;118510;118450;118480
03.10.2018;118480;118520;118460;118480
03.10.2018;118490;118530;118480;118500
03.10.2018;118490;118540;118490;118500
03.10.2018;118490;118510;118490;118490
03.10.2018;118480;118490;118440;118450
03.10.2018;118450;118460;118410;118430
03.10.2018;118430;118460;118410;118450
03.10.2018;118440;118440;118400;118400
03.10.2018;118400;118420;118400;118410
03.10.2018;118420;118500;118400;118460
03.10.2018;118470;118520;118460;118520
03.10.2018;118510;118550;118460;118460
03.10.2018;118470;118490;118450;118470
03.10.2018;118470;118480;118430;118450
03.10.2018;118450;118490;118410;118480
03.10.2018;118480;118500;118460;118490
03.10.2018;118500;118570;118480;118550
03.10.2018;118560;118580;118520;118560
03.10.2018;118560;118620;118540;118590
03.10.2018;118600;118610;118560;118560
03.10.2018;118570;118590;118560;118570
03.10.2018;118570;118580;118560;118580
03.10.2018;118590;118590;118560;118570
03.10.2018;118570;118580;118520;118550
03.10.2018;118550;118570;118500;118540
03.10.2018;118530;118550;118520;118530
03.10.2018;118520;118580;118480;118550
03.10.2018;118540;118620;118540;118570
03.10.2018;118560;118560;118520;118540
03.10.2018;118570;118590;118550;118550
03.10.2018;118540;118560;118520;118520
03.10.2018;118520;118570;118520;118560
03.10.2018;118550;118550;118500;118540
03.10.2018;118540;118560;118530;118540
03.10.2018;118560;118600;118520;118600
03.10.2018;118600;118660;118590;118640
03.10.2018;118640;118640;118610;118620
03.10.2018;118620;118620;118590;118600
03.10.2018;118590;118620;118510;118580
03.10.2018;118580;118580;118510;118510
03.10.2018;118530;118530;118340;118390
03.10.2018;118390;118390;118320;118340
03.10.2018;118340;118430;118310;118390
03.10.2018;118400;118450;118370;118410
03.10.2018;118400;118430;118330;118420
